종목코드,종목명,종가,대비,등락률,상장시가총액
"285130","SK케미칼","83700","-1400","-1.65","1444142.0"
"298020","효성티앤씨","355500","3500","0.99","1538491.0"
"014820","동원시스템즈","48400","300","0.62","1403178.0"
"000150","두산","84200","-1300","-1.52","1391307.0"
"000210","DL","66200","-500","-0.75","1387280.0"
"003090","대웅","21300","-300","-1.39","1238424.0"
"000670","영풍","703000","-9000","-1.26","1294954.0"
"001230","동국제강","13250","-300","-2.21","1264484.0"
"000240","한국앤컴퍼니","13750","-350","-2.48","1305360.0"
"005850","에스엘","25900","-400","-1.52","1203017.0"
"006650","대한유화","165500","-5500","-3.22","1075750.0"
"009240","한샘","46950","-350","-0.74","1104918.0"
"017800","현대엘리베이","29900","100","0.34","1220374.0"
"271940","일진하이솔루스","32500","-850","-2.55","1180179.0"
"093370","후성","12600","150","1.20","1166846.0"
"114090","GKL","18200","300","1.68","1125773.0"
"120110","코오롱인더","44500","700","1.60","1224600.0"
"019170","신풍제약","21850","300","1.39","1157722.0"
"001740","SK네트웍스","4085","45","1.11","1013847.0"
"001800","오리온홀딩스","15550","-200","-1.27","974136.0"
"010780","아이에스동서","30000","350","1.18","926778.0"
"020560","아시아나항공","13400","50","0.37","997118.0"
"192080","더블유게임즈","49300","-550","-1.10","905863.0"
"039130","하나투어","57600","0","0.00","923857.0"
"161890","한국콜마","41500","-1050","-2.47","949569.0"
"178920","PI첨단소재","31800","-550","-1.70","933849.0"
"185750","종근당","85500","600","0.71","1024977.0"
"031430","신세계인터내셔날","26200","-700","-2.60","935340.0"
"003240","태광산업","731000","7000","0.97","813895.0"
"003850","보령","10800","-50","-0.46","741852.0"
"005250","녹십자홀딩스","17250","50","0.29","811237.0"
"009420","한올바이오파마","14700","-100","-0.68","767937.0"
"009900","명신산업","16500","-250","-1.49","865757.0"
"300720","한일시멘트","12500","50","0.40","865769.0"
"032350","롯데관광개발","12250","-250","-2.00","886075.0"
"069260","TKG휴켐스","21200","50","0.24","866626.0"
"073240","금호타이어","2950","-20","-0.67","847418.0"
